,Food_Item,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Water_Intake (ml)
8807,Milkshake,164,7.1,8.3,9.4,9.8,36.0,35,166,354
8808,Carrot,220,33.9,28.3,17.6,7.9,22.1,124,93,166
8809,Milk,489,32.9,22.1,33.6,9.2,18.4,641,282,929
8810,Milk,316,14.0,14.9,14.5,7.3,47.7,583,278,230
8811,Pasta,367,48.8,74.2,24.0,8.8,9.9,289,247,754
8812,Cookies,317,19.3,79.7,29.3,2.0,49.3,667,93,788
8813,Apple,281,13.2,75.7,41.0,8.3,4.7,389,47,556
8814,Spinach,289,20.1,12.4,15.4,7.0,7.0,337,236,813
8815,Yogurt,232,2.6,42.5,9.3,9.6,26.5,866,187,581
8816,Cheese,101,46.9,6.7,5.6,4.3,38.8,153,139,141
8817,Apple,430,24.3,94.1,7.0,0.7,48.0,263,36,289
8818,Nuts,367,42.6,13.8,24.5,7.6,45.6,122,170,298
8819,Grapes,331,46.4,28.9,41.8,5.5,18.0,345,146,478
8820,Eggs,103,6.3,77.0,17.4,5.8,36.8,86,294,456
8821,Water,535,17.1,31.9,41.2,9.8,14.6,462,105,653
8822,Banana,308,15.0,24.0,14.6,5.0,25.5,652,108,220
8823,Potato,483,41.2,33.5,29.0,5.8,35.8,293,178,747
8824,Cookies,354,43.8,48.0,13.7,7.3,45.7,10,123,753
8825,Potato,311,20.9,77.0,47.4,0.2,15.6,945,150,416
8826,Strawberry,425,22.7,5.7,2.5,8.9,10.2,718,160,460
8827,Cookies,52,2.7,78.3,12.2,7.7,15.8,892,291,277
8828,Orange Juice,171,26.0,17.8,17.1,2.2,39.0,616,101,151
8829,Banana,332,21.0,47.2,35.1,9.8,29.9,460,18,763
8830,Quinoa,232,2.6,88.5,4.9,8.4,9.3,425,150,836
8831,Quinoa,251,30.9,13.5,29.9,3.2,6.0,75,23,570
8832,Spinach,325,15.2,58.8,21.4,2.1,36.2,23,208,865
8833,Yogurt,465,29.2,32.6,14.7,5.4,36.4,679,113,198
8834,Cookies,159,20.6,35.9,34.1,9.6,50.0,634,127,999
8835,Orange,364,14.0,68.0,25.0,1.3,10.1,439,177,195
8836,Carrot,270,46.4,17.9,24.1,1.9,22.9,263,77,997
8837,Tomato,395,17.0,65.1,22.4,4.2,14.8,184,294,369
8838,Oats,542,2.3,5.8,4.0,6.2,28.2,339,283,877
8839,Broccoli,266,48.0,68.7,11.2,9.2,44.0,278,247,108
8840,Oats,174,45.4,64.7,47.9,2.9,14.7,963,31,373
8841,Bread,373,40.0,52.2,43.3,0.7,9.4,848,107,727
8842,Strawberry,149,11.5,21.0,4.9,5.2,28.2,869,172,974
8843,Broccoli,343,16.5,74.1,14.6,3.0,18.1,181,84,237
8844,Pork Chop,539,45.2,15.4,18.2,3.5,21.4,536,300,514
8845,Nuts,179,41.3,33.2,23.1,7.1,20.9,643,129,293
8846,Beef Steak,315,40.3,94.3,29.4,3.0,44.4,21,224,241
8847,Pasta,277,19.5,97.2,12.7,2.8,38.5,71,272,944
8848,Carrot,492,39.7,41.3,25.8,6.7,39.4,662,111,816
8849,Bread,554,47.0,56.8,45.2,8.8,4.4,641,41,163
8850,Cheese,160,3.5,45.9,8.1,4.6,29.1,125,224,948
8851,Carrot,91,30.1,68.7,6.6,1.2,20.4,313,42,707
8852,Orange,340,9.2,17.1,15.5,9.6,15.4,509,144,478
8853,Beef Steak,174,7.0,99.8,47.2,3.2,48.9,947,217,577
8854,Chocolate,554,36.4,86.5,15.4,9.6,1.6,114,105,395
8855,Banana,379,32.8,15.3,12.5,6.7,19.3,543,153,887
8856,Apple,516,17.9,93.4,38.3,0.8,19.0,410,292,919
8857,Pork Chop,532,1.8,94.2,5.3,3.9,46.1,185,31,595
8858,Quinoa,458,21.5,85.7,8.5,1.0,35.1,609,42,414
8859,Potato,418,28.6,65.3,16.1,1.8,20.5,849,252,926
8860,Spinach,73,15.6,14.8,14.4,8.6,28.4,68,86,412
8861,Water,382,40.4,54.2,1.9,9.1,15.7,35,217,170
8862,Milk,272,49.6,5.7,16.9,6.8,30.7,903,58,525
8863,Pork Chop,549,35.6,25.8,39.8,8.6,0.7,85,237,248
8864,Potato,467,16.4,85.8,32.3,6.3,47.5,636,295,935
8865,Potato,536,32.7,29.2,45.8,8.9,27.5,793,267,166
8866,Orange,365,40.7,49.0,17.4,0.3,34.0,103,113,759
8867,Cheese,145,18.9,59.3,28.4,5.6,3.9,473,100,941
8868,Broccoli,230,38.0,32.6,50.0,4.4,10.0,188,273,626
8869,Strawberry,569,46.9,18.3,10.6,5.3,10.5,220,135,474
8870,Potato,499,40.7,50.9,48.4,4.3,15.7,238,39,586
8871,Tomato,130,47.5,67.4,44.5,4.3,15.4,252,14,248
8872,Rice,552,20.9,21.7,8.0,2.2,48.8,802,171,648
8873,Milkshake,71,22.3,46.9,49.0,6.1,12.5,950,193,294
8874,Eggs,470,42.7,14.6,24.9,6.0,14.5,144,92,391
8875,Chocolate,443,49.8,50.2,33.4,5.2,11.8,484,14,469
8876,Nuts,477,14.3,91.8,22.2,6.3,29.5,787,266,555
8877,Oats,292,48.8,17.2,17.9,0.6,20.1,941,247,597
8878,Strawberry,85,45.2,90.9,33.3,5.4,11.5,972,109,328
8879,Milkshake,487,41.7,33.0,45.1,7.9,26.8,278,284,223
8880,Rice,549,13.8,23.8,9.0,1.7,40.1,341,67,621
8881,Paneer,177,38.6,95.9,42.1,3.6,45.6,239,60,275
8882,Beef Steak,281,48.6,89.1,1.9,5.1,5.6,859,107,128
8883,Cookies,373,31.2,66.0,6.5,8.2,24.6,647,70,195
8884,Quinoa,526,11.6,41.9,9.8,1.6,47.7,822,25,407
8885,Milk,487,38.5,36.6,44.5,5.1,3.9,862,219,143
8886,Eggs,369,34.7,27.4,13.6,3.1,19.1,122,283,773
8887,Grapes,272,11.0,51.7,28.3,8.8,11.0,86,20,483
8888,Salmon,593,13.5,86.6,48.4,1.5,41.8,189,167,776
8889,Green Tea,582,18.0,9.3,42.5,5.8,4.5,548,169,732
8890,Eggs,277,42.4,66.0,35.6,4.1,26.8,756,192,577
8891,Apple,475,26.7,63.8,2.3,7.6,15.6,824,273,753
8892,Grapes,155,7.7,20.5,25.7,1.2,20.6,199,185,567
8893,Cookies,555,48.5,84.7,25.2,4.6,41.7,206,39,461
8894,Grapes,73,6.0,21.1,18.5,7.1,21.1,221,168,440
8895,Nuts,78,42.9,13.9,30.0,9.7,20.2,894,252,146
8896,Beef Steak,263,3.8,27.3,35.9,2.2,41.9,181,294,712
8897,Rice,594,22.8,18.3,47.6,8.8,12.5,283,234,934
8898,Broccoli,571,24.6,10.8,1.6,9.5,37.9,971,270,906
8899,Tomato,487,39.6,38.5,22.1,6.9,29.9,837,284,513
8900,Strawberry,234,31.2,30.6,34.2,1.4,45.9,482,4,857
8901,Bread,297,5.3,62.9,7.3,1.1,20.3,778,43,523
8902,Nuts,243,27.5,6.0,21.1,0.1,41.2,144,168,680
8903,Milk,457,41.5,23.4,29.9,1.0,10.4,421,300,665
8904,Chocolate,393,8.2,93.4,4.5,9.3,9.6,302,8,400
8905,Cheese,553,37.8,71.7,43.2,6.6,39.3,257,141,678
8906,Orange Juice,139,26.1,42.5,33.5,4.8,28.4,214,208,477
8907,Popcorn,329,22.2,99.2,37.9,6.4,24.2,63,40,917
8908,Orange,405,25.8,88.4,4.4,5.9,26.7,630,288,820
8909,Spinach,577,9.9,88.9,48.8,0.2,9.4,629,28,379
8910,Nuts,449,29.2,19.4,37.1,9.1,32.2,875,198,128
8911,Apple,411,43.5,57.5,19.5,9.7,32.2,500,34,220
8912,Pork Chop,526,14.1,41.7,5.5,5.8,13.0,275,192,644
8913,Cheese,261,27.2,20.5,42.8,3.5,8.8,938,219,138
8914,Pasta,343,38.0,26.2,23.0,2.0,16.7,266,66,727
8915,Bread,87,37.9,73.6,36.6,2.7,45.6,193,96,440
8916,Chicken Breast,139,20.0,7.1,33.9,2.3,5.6,300,248,989
8917,Milkshake,371,1.4,32.7,32.3,2.2,8.2,191,261,815
8918,Paneer,346,35.2,97.6,29.1,5.6,39.6,518,200,292
8919,Milk,375,35.3,22.8,42.5,7.1,48.9,942,281,861
8920,Spinach,557,22.2,99.5,24.7,7.7,2.4,166,209,343
8921,Coffee,444,9.4,44.6,25.5,4.1,2.0,374,25,358
8922,Spinach,110,24.9,76.9,34.2,4.4,18.8,299,241,620
8923,Coffee,180,42.9,22.5,9.6,9.6,5.0,296,269,627
8924,Strawberry,568,44.0,92.2,44.4,3.7,37.1,95,227,893
8925,Coffee,163,15.5,47.8,9.6,4.1,19.4,325,185,372
8926,Orange Juice,141,27.4,34.9,48.8,9.0,32.0,182,274,959
8927,Oats,267,35.5,22.3,25.4,6.7,8.0,725,41,835
8928,Chicken Breast,193,4.3,15.4,26.5,8.6,34.3,234,268,547
8929,Chocolate,333,19.2,17.9,31.4,8.0,38.7,773,166,314
8930,Chicken Breast,353,38.7,30.9,24.8,3.4,24.5,777,236,342
8931,Milk,76,37.8,68.8,21.7,2.9,22.0,608,114,176
8932,Chicken Breast,115,25.6,36.7,45.1,2.1,22.2,110,208,672
8933,Banana,574,19.2,50.6,16.6,0.3,7.4,454,235,123
8934,Potato,363,12.9,6.1,15.4,1.8,48.6,452,196,925
8935,Butter,556,28.9,99.7,9.9,8.3,6.3,658,78,828
8936,Eggs,453,41.4,76.3,15.3,5.7,32.6,341,213,901
8937,Butter,195,47.7,35.7,22.9,7.8,38.1,493,241,673
8938,Milkshake,519,28.6,15.9,36.9,0.1,4.6,972,87,308
8939,Chips,559,36.0,56.0,14.4,7.8,46.4,862,58,457
8940,Nuts,168,3.7,93.8,42.4,0.5,19.1,889,245,213
8941,Pork Chop,320,44.3,13.7,43.1,9.9,27.1,778,192,305
8942,Beef Steak,391,38.4,96.0,17.6,9.3,33.6,168,121,328
8943,Popcorn,296,33.8,10.6,5.3,8.4,0.2,754,190,942
8944,Spinach,127,2.2,76.2,10.3,6.2,5.8,413,207,215
8945,Quinoa,270,5.6,19.2,1.8,2.4,35.3,184,90,854
8946,Nuts,144,16.9,38.1,10.2,2.2,34.4,839,171,419
8947,Chips,551,28.6,55.5,37.8,0.5,30.5,139,288,820
8948,Quinoa,142,9.0,64.3,49.7,3.1,18.9,137,141,662
8949,Water,115,12.6,50.2,5.5,7.1,11.4,331,12,231
8950,Orange,458,49.5,29.3,14.0,9.3,20.3,507,12,293
8951,Coffee,151,16.2,86.2,18.5,7.7,32.8,275,47,670
8952,Pasta,449,16.6,82.4,22.4,4.9,42.7,634,101,132
8953,Pasta,546,36.1,43.1,16.7,5.9,42.1,665,218,433
8954,Popcorn,318,18.5,16.0,28.8,1.2,41.7,500,210,357
8955,Pork Chop,324,26.2,7.4,11.8,3.4,42.1,478,237,408
8956,Milk,125,48.3,70.6,26.4,9.3,27.4,694,237,452
8957,Grapes,96,24.4,95.0,25.7,2.1,0.7,544,20,702
8958,Carrot,171,39.8,22.5,38.1,7.3,41.2,420,247,656
8959,Paneer,267,13.4,6.1,4.0,6.5,47.0,681,30,289
8960,Milkshake,512,27.1,21.9,37.9,0.6,23.5,2,228,955
8961,Carrot,271,31.8,72.2,41.5,9.6,22.8,58,277,538
8962,Bread,449,2.8,39.5,48.8,6.8,8.9,389,140,429
8963,Green Tea,498,48.6,99.2,45.4,4.3,34.1,749,0,232
8964,Water,188,37.0,69.4,11.5,1.0,37.2,426,283,991
8965,Beef Steak,268,48.4,29.3,15.8,8.1,18.8,720,226,971
8966,Grapes,516,1.5,7.3,32.6,1.9,25.8,892,265,126
8967,Banana,117,12.1,50.6,35.8,3.8,4.5,61,44,463
8968,Carrot,175,17.4,57.6,10.9,5.4,29.6,948,15,223
8969,Paneer,315,25.0,40.5,20.1,0.3,18.2,837,290,702
8970,Rice,436,44.9,58.9,21.2,7.4,8.6,407,123,815
8971,Cookies,84,25.5,77.6,43.1,4.7,1.6,180,73,954
8972,Spinach,221,37.0,56.6,14.5,5.1,36.3,649,14,349
8973,Coffee,417,7.6,79.6,7.1,1.4,8.5,458,52,714
8974,Spinach,82,37.3,7.1,18.6,6.9,10.2,194,246,386
8975,Milk,388,27.3,91.7,18.0,9.6,20.0,714,222,710
8976,Cheese,383,48.1,83.4,41.1,4.4,22.2,317,154,919
8977,Spinach,138,25.9,23.4,19.7,8.3,45.5,941,78,304
8978,Milk,234,22.7,59.8,3.8,7.1,23.1,480,122,378
8979,Orange Juice,199,33.9,13.0,28.9,6.5,28.2,878,33,791
8980,Pork Chop,283,4.8,45.8,23.9,9.0,29.8,210,296,264
8981,Quinoa,394,12.6,77.4,43.1,1.7,47.1,445,237,774
8982,Pork Chop,438,43.5,81.7,12.0,8.6,2.7,140,22,930
8983,Bread,511,35.1,89.6,31.7,7.5,5.9,741,260,714
8984,Potato,64,10.5,65.7,13.9,6.7,13.5,973,21,562
8985,Banana,329,2.2,30.5,36.3,4.4,27.0,475,121,882
8986,Chicken Breast,160,22.1,91.8,17.7,0.1,35.8,765,230,134
8987,Chocolate,281,29.2,90.4,19.5,4.1,39.8,255,79,201
8988,Milk,499,12.7,7.8,35.7,3.5,4.6,526,212,593
8989,Chocolate,264,29.9,34.1,12.0,6.9,41.7,942,204,490
8990,Potato,439,48.4,51.4,10.6,3.7,12.4,785,3,451
8991,Quinoa,334,48.9,65.5,23.1,4.6,20.0,67,185,977
8992,Paneer,531,41.6,44.4,32.4,6.8,42.2,994,294,102
8993,Water,502,33.3,49.9,13.6,0.8,11.7,362,250,166
8994,Orange,354,11.6,61.0,36.3,3.0,37.7,23,94,887
8995,Orange Juice,98,1.4,12.0,49.9,5.4,18.9,206,38,625
8996,Carrot,433,25.0,8.7,37.6,9.3,48.4,71,65,571
8997,Cookies,469,38.7,29.5,40.1,2.5,31.9,996,256,847
8998,Orange,492,11.8,64.2,20.3,5.6,45.1,777,74,434
8999,Grapes,355,19.8,70.3,29.9,3.1,34.3,135,295,626
9000,Potato,525,31.4,65.9,10.7,6.8,16.0,35,146,482
9001,Carrot,378,46.1,98.2,23.2,9.6,48.1,642,26,757
9002,Butter,437,26.6,49.9,21.7,7.5,20.2,905,21,781
9003,Coffee,380,45.3,85.3,11.5,8.2,33.0,518,114,396
9004,Carrot,573,23.6,80.4,23.0,5.8,25.3,395,107,613
9005,Apple,113,1.7,59.1,23.0,7.4,36.2,219,231,390
9006,Broccoli,379,46.4,50.7,36.4,5.1,43.9,392,82,104
9007,Broccoli,160,4.6,22.9,45.5,1.9,5.4,543,1,151
9008,Pasta,559,40.1,79.1,9.9,2.6,7.0,719,30,955
9009,Potato,87,21.0,45.8,12.8,9.5,22.3,338,172,981
9010,Cookies,79,17.2,10.5,32.4,8.8,19.4,918,168,977
9011,Milkshake,540,31.7,41.4,1.2,7.2,17.2,506,256,691
9012,Nuts,117,42.8,76.5,10.1,1.4,46.4,496,246,953
9013,Oats,199,4.1,54.8,21.9,3.8,41.9,867,299,801
9014,Chocolate,286,22.2,19.1,8.4,7.9,9.5,57,55,694
9015,Green Tea,56,28.7,78.7,3.8,9.0,17.4,863,231,715
9016,Pork Chop,397,20.7,70.3,44.9,3.3,28.1,623,169,443
9017,Bread,443,42.2,56.8,16.4,8.2,16.8,753,275,342
9018,Quinoa,568,25.0,79.4,2.8,6.2,34.8,736,50,824
9019,Orange,553,8.1,38.9,6.2,4.7,48.6,468,49,746
9020,Nuts,51,32.2,64.6,34.9,1.3,10.9,677,241,182
9021,Spinach,157,43.6,58.8,8.5,1.3,10.6,292,41,234
9022,Paneer,162,2.7,32.8,12.2,7.9,47.3,547,122,202
9023,Orange,334,48.7,77.0,1.2,7.7,44.3,379,148,501
9024,Carrot,258,3.1,97.4,26.5,1.3,27.6,509,275,708
9025,Rice,274,4.7,12.9,21.5,5.4,42.2,264,246,603
9026,Eggs,160,22.8,95.3,39.2,4.7,45.4,937,162,388
9027,Chips,450,39.8,56.0,46.1,4.1,19.3,597,11,525
9028,Orange,494,8.7,90.1,4.1,3.5,41.6,804,212,679
9029,Water,517,27.5,19.5,30.9,8.5,8.7,716,18,301
9030,Grapes,559,3.0,98.1,38.8,5.4,26.8,397,208,778
9031,Oats,448,36.4,68.5,27.1,4.7,6.4,488,31,316
9032,Grapes,157,47.1,84.2,34.3,6.1,10.1,511,232,317
9033,Paneer,142,6.2,6.3,4.5,5.8,16.3,139,99,595
9034,Oats,591,44.1,13.4,2.3,3.4,27.6,88,182,520
9035,Water,120,15.7,27.2,18.5,7.0,42.6,814,233,175
9036,Milk,322,8.8,56.0,46.2,6.0,28.0,27,59,888
9037,Spinach,567,5.2,54.5,1.7,5.0,45.1,123,171,708
9038,Rice,414,21.4,63.4,25.1,5.4,29.2,430,112,117
9039,Water,249,4.3,19.1,9.2,7.2,37.9,170,217,135
9040,Yogurt,325,46.5,99.2,1.9,7.4,17.1,315,266,775
9041,Milk,111,2.6,86.0,49.7,5.9,6.8,798,160,607
9042,Strawberry,132,16.5,85.6,22.8,6.6,45.3,399,117,947
9043,Carrot,339,45.9,14.4,15.4,4.2,0.9,217,85,997
9044,Carrot,194,11.5,60.3,21.2,6.6,32.7,398,37,763
9045,Spinach,287,33.3,73.6,39.6,5.0,11.4,496,216,402
9046,Bread,203,37.1,45.4,3.9,8.2,43.1,750,55,489
9047,Water,415,2.4,19.3,9.5,4.2,9.8,516,153,673
9048,Beef Steak,295,43.5,16.7,18.2,3.1,1.6,508,294,337
9049,Cookies,572,16.0,89.4,8.2,9.5,27.8,421,264,409
9050,Bread,517,31.4,39.7,25.3,5.3,31.5,871,26,887
9051,Orange Juice,590,28.1,42.7,31.9,7.3,9.8,657,75,756
9052,Chocolate,197,36.2,8.6,6.8,3.7,9.3,297,256,899
9053,Broccoli,249,3.8,46.2,45.5,9.5,41.3,910,27,970
9054,Spinach,520,5.8,21.8,42.6,7.3,12.3,517,282,943
9055,Beef Steak,285,24.7,56.8,25.0,7.8,18.9,953,172,896
9056,Green Tea,298,26.6,64.3,1.3,2.5,14.6,983,26,638
9057,Butter,297,18.4,16.5,1.4,8.6,31.6,342,70,993
9058,Spinach,599,1.5,85.4,21.8,3.5,5.3,361,99,540
9059,Rice,532,18.4,13.8,42.5,0.6,19.4,18,202,612
9060,Pork Chop,419,39.9,43.1,22.1,4.1,47.3,557,216,409
9061,Tomato,168,30.4,36.9,42.0,3.1,18.6,193,130,922
9062,Beef Steak,294,13.4,92.6,26.5,8.1,41.3,523,93,433
9063,Broccoli,136,4.8,87.0,38.6,7.7,2.1,375,158,549
9064,Spinach,487,4.6,12.4,49.5,4.9,27.6,236,100,801
9065,Banana,532,19.0,73.4,24.0,3.3,21.9,804,247,370
9066,Chicken Breast,275,19.7,34.6,24.8,8.5,29.8,699,22,683
9067,Oats,274,12.2,28.1,48.9,8.8,28.8,845,121,148
9068,Apple,139,20.8,7.1,41.1,8.3,32.2,386,204,125
9069,Pork Chop,239,43.3,82.1,15.7,4.7,47.4,752,84,817
9070,Cookies,404,44.0,45.1,22.4,4.8,12.5,413,157,384
9071,Milkshake,244,23.1,54.4,30.1,5.0,38.1,237,178,643
9072,Pasta,214,1.8,22.7,36.2,8.7,14.0,892,68,549
9073,Chicken Breast,177,29.1,38.4,23.5,6.6,39.9,265,236,847
9074,Milkshake,550,1.2,83.7,2.2,5.4,32.4,468,20,879
9075,Spinach,94,7.8,92.6,6.7,2.9,2.3,408,137,765
9076,Water,468,15.1,75.8,37.4,2.8,5.6,365,237,890
9077,Spinach,103,9.3,94.2,19.2,5.9,17.3,793,265,914
9078,Coffee,336,21.4,35.8,43.2,4.6,9.6,205,176,287
9079,Apple,80,14.4,43.4,46.4,4.2,28.4,239,254,832
9080,Tomato,266,13.8,54.4,32.0,10.0,16.8,91,139,891
9081,Carrot,82,38.1,92.0,31.9,9.6,8.6,276,264,853
9082,Broccoli,335,20.5,28.5,6.7,5.0,43.0,273,122,960
9083,Chicken Breast,426,3.0,18.5,12.9,8.3,42.4,553,137,328
9084,Apple,365,24.5,15.6,1.9,8.0,9.3,431,99,575
9085,Potato,96,36.3,59.7,47.0,6.8,6.8,24,201,856
9086,Milkshake,260,36.5,41.7,6.9,4.0,37.0,37,257,123
9087,Chips,314,45.7,89.7,6.4,4.0,44.5,990,26,875
9088,Rice,145,39.4,97.7,40.1,1.1,45.4,714,2,110
9089,Rice,165,32.3,10.3,17.8,5.9,21.1,386,7,439
9090,Potato,303,15.5,69.5,32.1,1.4,49.7,614,211,945
9091,Popcorn,245,37.1,61.3,23.3,1.0,3.3,868,220,268
9092,Apple,539,16.3,17.3,45.3,4.0,43.4,756,204,181
9093,Butter,335,33.4,23.4,44.5,7.5,2.6,544,176,974
9094,Spinach,528,48.4,41.1,6.2,6.1,35.8,703,23,797
9095,Orange Juice,408,34.1,21.7,45.8,8.1,18.6,958,231,415
9096,Orange Juice,545,30.1,69.9,41.7,2.6,5.4,154,227,960
9097,Chips,135,29.0,88.1,41.6,8.6,17.5,134,191,727
9098,Yogurt,540,16.6,79.1,6.4,1.0,15.0,842,200,204
9099,Butter,288,47.7,41.2,46.3,2.3,43.3,510,274,862
9100,Bread,570,5.4,48.5,46.8,5.5,13.6,542,32,370
9101,Grapes,399,4.1,55.2,32.9,5.2,7.5,813,156,837
9102,Coffee,371,30.8,92.6,18.0,5.7,5.1,582,95,578
9103,Chicken Breast,511,31.1,61.4,39.1,4.1,32.0,851,130,291
9104,Nuts,512,28.9,89.7,8.3,3.5,27.4,217,236,719
9105,Potato,591,6.2,72.4,8.4,6.1,10.1,102,267,899
9106,Pork Chop,190,23.9,65.7,20.2,0.1,28.3,111,201,756
9107,Beef Steak,532,43.8,21.7,30.1,8.1,19.2,12,299,264
9108,Yogurt,596,45.8,50.4,14.3,0.8,33.9,987,295,880
9109,Orange,119,14.0,98.9,21.6,0.8,36.2,85,250,775
9110,Quinoa,120,13.8,33.9,42.1,5.7,29.5,711,255,862
9111,Green Tea,185,25.5,30.5,14.7,4.8,7.7,863,131,865
9112,Cookies,534,18.2,92.8,48.0,3.2,46.8,611,33,149
9113,Nuts,499,35.3,51.9,48.3,7.4,35.1,661,31,119
9114,Cookies,189,25.4,48.6,22.4,0.2,46.3,999,182,501
9115,Paneer,323,1.6,24.3,11.7,3.8,27.2,588,114,280
9116,Eggs,99,24.6,16.1,21.0,0.6,29.1,208,225,983
9117,Apple,191,18.7,58.1,15.0,4.5,8.1,843,66,470
9118,Spinach,262,29.4,31.1,26.3,7.8,30.2,187,53,517
9119,Salmon,74,44.2,6.6,37.4,2.1,23.4,827,29,940
9120,Bread,565,23.6,11.3,22.4,9.2,28.5,630,215,382
9121,Quinoa,185,15.7,95.7,11.9,5.9,47.1,251,135,827
9122,Milkshake,570,48.5,28.3,14.7,6.2,45.3,807,148,837
9123,Cookies,395,8.2,27.1,49.0,0.3,19.3,436,232,718
9124,Yogurt,58,2.6,49.5,24.5,9.8,26.1,817,232,377
9125,Pasta,98,4.4,70.9,5.0,2.5,43.0,820,118,747
9126,Chicken Breast,52,41.4,88.0,25.0,8.2,43.5,401,108,206
9127,Popcorn,70,17.8,88.9,14.7,1.4,27.6,713,227,421
9128,Yogurt,118,3.4,70.0,25.8,9.6,29.9,776,203,152
9129,Paneer,484,18.1,38.6,23.1,3.8,10.8,300,155,637
9130,Banana,86,45.4,41.9,19.2,9.6,40.7,177,52,860
9131,Popcorn,346,46.7,65.9,31.0,9.2,30.7,928,183,620
9132,Chips,215,42.9,37.9,13.4,8.5,49.2,542,300,746
9133,Cheese,240,38.7,31.8,4.0,2.8,41.1,552,29,982
9134,Grapes,558,8.8,6.7,37.8,6.1,9.2,50,45,960
9135,Milk,380,11.6,82.1,15.8,1.1,28.1,222,139,981
9136,Orange,58,18.5,57.6,28.6,2.5,25.3,545,66,717
9137,Chocolate,355,30.3,40.6,32.2,7.3,44.3,745,282,803
9138,Potato,287,1.5,24.7,31.3,8.9,3.6,213,194,538
9139,Rice,75,31.3,35.5,47.6,9.9,48.0,303,234,296
9140,Beef Steak,433,11.5,13.7,42.7,1.6,8.8,510,51,195
9141,Orange,173,35.3,41.6,9.6,7.8,45.4,799,153,632
9142,Coffee,247,3.0,17.4,43.7,1.6,26.0,109,189,850
9143,Spinach,94,7.6,14.2,11.6,8.4,10.0,977,19,841
9144,Orange,246,30.7,22.5,46.2,3.8,39.0,18,55,873
9145,Oats,233,36.5,46.2,49.3,8.1,7.1,632,178,855
9146,Popcorn,365,42.3,57.7,47.1,2.1,25.5,518,257,997
9147,Broccoli,425,29.8,13.3,4.9,3.4,26.0,821,134,961
9148,Paneer,525,34.7,93.5,24.9,5.6,41.6,200,239,226
9149,Orange,160,26.4,72.5,39.2,9.4,40.2,418,286,783
9150,Carrot,123,37.7,21.8,36.3,9.2,11.2,698,298,516
9151,Orange,169,30.4,70.7,21.4,3.0,4.2,583,83,820
9152,Water,223,2.8,91.1,5.4,3.5,45.3,364,156,618
9153,Eggs,57,43.1,8.2,2.1,5.5,6.1,702,55,815
9154,Grapes,203,24.6,9.0,11.1,4.9,32.1,162,257,356
9155,Quinoa,386,30.5,7.2,7.1,9.9,30.2,384,213,754
9156,Milkshake,71,34.2,90.7,39.9,7.1,14.8,930,239,911
9157,Eggs,116,17.5,45.2,28.0,7.5,4.2,501,129,676
9158,Chocolate,543,32.0,78.4,6.6,6.9,37.1,429,180,713
9159,Quinoa,216,47.7,40.4,20.0,0.5,0.6,889,279,644
9160,Orange Juice,265,13.6,50.7,26.1,3.8,31.6,253,203,328
9161,Apple,542,18.3,99.1,47.2,5.4,48.9,441,290,766
9162,Potato,348,4.0,57.6,4.9,3.4,33.5,738,55,846
9163,Paneer,219,18.4,82.5,4.0,1.1,43.5,80,256,678
9164,Bread,165,17.6,42.6,26.1,7.8,40.0,92,40,560
9165,Spinach,320,49.8,23.9,21.8,0.5,11.4,802,123,683
9166,Broccoli,259,15.3,58.0,7.8,2.0,17.4,72,20,282
9167,Eggs,495,20.5,32.9,39.5,7.4,32.8,923,122,463
9168,Apple,472,16.6,94.6,47.4,0.4,40.4,151,98,664
9169,Popcorn,488,43.0,77.4,45.4,8.1,36.1,868,223,479
9170,Strawberry,99,47.8,93.1,33.1,4.7,2.1,400,240,603
9171,Orange Juice,404,27.1,22.0,6.1,4.6,30.0,636,262,796
9172,Strawberry,306,17.3,43.8,17.5,3.0,17.3,772,117,448
9173,Chocolate,403,43.6,49.0,24.8,2.1,11.2,855,282,608
9174,Chocolate,129,25.8,59.3,38.4,8.6,32.3,947,85,566
9175,Broccoli,547,17.0,80.1,21.3,8.7,3.7,106,0,399
9176,Orange,319,1.4,82.3,33.5,5.7,6.1,125,268,521
9177,Chocolate,582,19.1,44.1,18.4,5.9,23.1,961,115,360
9178,Orange,386,10.6,44.7,18.2,5.7,32.6,330,26,843
9179,Yogurt,516,23.0,73.6,28.9,9.2,8.9,569,64,400
9180,Banana,415,4.8,21.4,3.6,2.2,38.9,922,290,157
9181,Banana,446,17.8,17.8,47.1,7.9,35.9,424,198,836
9182,Banana,531,14.2,21.1,3.1,0.3,2.9,720,57,395
9183,Salmon,148,10.4,25.2,16.3,1.6,36.9,773,63,401
9184,Potato,328,20.6,84.2,9.2,3.4,4.0,25,206,129
9185,Cookies,392,7.9,15.1,11.9,5.7,22.8,377,150,104
9186,Bread,504,23.7,10.2,14.0,8.0,24.9,687,32,139
9187,Beef Steak,531,36.4,64.5,7.0,0.9,48.6,134,124,729
9188,Cookies,570,40.8,80.6,39.4,0.9,40.3,641,50,918
9189,Paneer,410,41.8,95.7,7.2,0.9,19.9,525,77,359
9190,Eggs,217,42.4,96.9,17.7,3.4,19.0,821,95,418
9191,Pasta,183,7.7,69.5,40.5,0.1,12.5,351,213,352
